Date,Company,Product,Category,Region,Quantity,Sales,Revenue
2025-01-27,Apple,Tablet,Mobile Hardware,North,8,3200,3200.0
2025-01-28,Samsung,Monitor,Displays,South,12,3000,2850.0
2025-01-28,MSI,Mouse,Accessories,North,6,180,180.0
2025-01-28,Intel,SSD,Storage,East,1,120,120.0
2025-01-29,Samsung,Processor,Components,South,4,1400,1400.0
2025-01-29,ASUS,Monitor,Displays,East,1,250,250.0
2025-01-30,HP,Keyboard,Accessories,South,13,715,679.25
2025-01-30,ASUS,Graphics Card,Components,East,2,1300,1300.0
2025-01-30,Samsung,Tablet,Mobile Hardware,South,5,2000,1800.0
2025-01-31,AMD,Laptop,Computers,South,14,11900,10710.0
2025-01-31,Intel,Keyboard,Accessories,South,8,440,418.0
2025-02-01,Intel,Keyboard,Accessories,South,8,440,374.0
2025-02-01,Dell,Graphics Card,Components,West,11,7150,6792.5
2025-02-01,Intel,Printer,Office Hardware,East,3,540,513.0
2025-02-02,MSI,Graphics Card,Components,East,11,7150,6077.5
2025-02-02,Intel,Printer,Office Hardware,West,13,2340,2340.0
2025-02-03,Samsung,Printer,Office Hardware,South,4,720,612.0
2025-02-03,Dell,Mouse,Accessories,South,10,300,300.0
2025-02-04,Samsung,Mouse,Accessories,East,11,330,330.0
2025-02-04,Samsung,Desktop PC,Computers,West,14,9800,9800.0
2025-02-04,Lenovo,SSD,Storage,South,6,720,648.0
2025-02-05,Dell,SSD,Storage,South,11,1320,1254.0
2025-02-05,Samsung,Laptop,Computers,South,11,9350,8415.0
2025-02-06,Lenovo,SSD,Storage,North,10,1200,1200.0
2025-02-06,Lenovo,Mouse,Accessories,West,3,90,90.0
2025-02-06,Dell,Desktop PC,Computers,South,2,1400,1400.0
2025-02-07,ASUS,Desktop PC,Computers,North,6,4200,4200.0
2025-02-07,AMD,Printer,Office Hardware,West,11,1980,1683.0
2025-02-08,MSI,Graphics Card,Components,South,13,8450,8450.0
2025-02-08,AMD,Laptop,Computers,East,5,4250,3825.0
2025-02-08,Intel,Printer,Office Hardware,North,14,2520,2268.0
2025-02-09,MSI,Graphics Card,Components,North,10,6500,6500.0
2025-02-09,Intel,SSD,Storage,South,5,600,570.0
2025-02-10,Samsung,Printer,Office Hardware,South,10,1800,1800.0
2025-02-10,HP,Monitor,Displays,North,13,3250,3250.0
2025-02-10,Dell,SSD,Storage,East,5,600,600.0
2025-02-11,MSI,Graphics Card,Components,East,10,6500,6175.0
2025-02-11,MSI,Laptop,Computers,West,12,10200,10200.0
2025-02-12,Samsung,Graphics Card,Components,South,5,3250,3087.5
2025-02-12,ASUS,Printer,Office Hardware,East,3,540,513.0
2025-02-12,Lenovo,Printer,Office Hardware,West,7,1260,1260.0
2025-02-13,Samsung,Keyboard,Accessories,East,6,330,313.5
2025-02-13,Acer,Laptop,Computers,South,4,3400,3060.0
2025-02-14,Lenovo,Processor,Components,West,2,700,700.0
2025-02-14,Dell,SSD,Storage,West,12,1440,1440.0
2025-02-14,Lenovo,Desktop PC,Computers,West,9,6300,5670.0
2025-02-15,ASUS,Laptop,Computers,East,1,850,850.0
2025-02-15,Lenovo,Desktop PC,Computers,South,13,9100,8645.0
2025-02-16,Dell,Laptop,Computers,West,13,11050,11050.0
2025-02-16,ASUS,Laptop,Computers,North,11,9350,9350.0
2025-02-16,AMD,Graphics Card,Components,South,14,9100,9100.0
2025-02-17,MSI,Laptop,Computers,North,4,3400,3400.0
2025-02-17,MSI,Keyboard,Accessories,North,1,55,52.25
2025-02-18,Intel,Processor,Components,West,13,4550,4550.0
2025-02-18,AMD,Printer,Office Hardware,West,6,1080,972.0
2025-02-18,AMD,Tablet,Mobile Hardware,East,4,1600,1440.0
2025-02-19,Lenovo,Desktop PC,Computers,East,5,3500,3325.0
2025-02-19,MSI,Printer,Office Hardware,East,5,900,810.0
2025-02-20,Dell,Tablet,Mobile Hardware,South,9,3600,3600.0
2025-02-20,Apple,Processor,Components,East,1,350,350.0
2025-02-21,Apple,Processor,Components,North,13,4550,4095.0
2025-02-21,ASUS,Desktop PC,Computers,East,2,1400,1400.0
2025-02-21,MSI,Desktop PC,Computers,West,13,9100,8645.0
2025-02-22,MSI,Processor,Components,East,6,2100,2100.0
2025-02-22,Apple,Tablet,Mobile Hardware,South,5,2000,1900.0
2025-02-23,MSI,Laptop,Computers,South,11,9350,8415.0
2025-02-23,Lenovo,SSD,Storage,North,7,840,756.0
2025-02-23,Acer,Monitor,Displays,South,3,750,675.0
2025-02-24,HP,Printer,Office Hardware,East,3,540,486.0
2025-02-24,AMD,Graphics Card,Components,West,10,6500,6175.0
2025-02-25,Intel,Printer,Office Hardware,South,2,360,342.0
2025-02-25,ASUS,Graphics Card,Components,North,13,8450,8450.0
2025-02-25,Acer,Tablet,Mobile Hardware,East,3,1200,1200.0
2025-02-26,Apple,Graphics Card,Components,North,10,6500,6175.0
2025-02-26,AMD,Desktop PC,Computers,South,1,700,595.0
2025-02-27,MSI,SSD,Storage,South,5,600,600.0
2025-02-27,Intel,SSD,Storage,North,14,1680,1596.0
2025-02-27,MSI,Desktop PC,Computers,East,12,8400,7980.0
2025-02-28,Dell,Keyboard,Accessories,South,5,275,261.25
2025-02-28,Dell,Tablet,Mobile Hardware,West,12,4800,4320.0
2025-03-01,Intel,Keyboard,Accessories,South,11,605,605.0
2025-03-01,Intel,Keyboard,Accessories,East,7,385,365.75
2025-03-01,Apple,Printer,Office Hardware,South,4,720,648.0
2025-03-02,Intel,Processor,Components,North,3,1050,997.5
2025-03-02,Lenovo,Printer,Office Hardware,South,1,180,180.0
2025-03-03,MSI,Processor,Components,South,12,4200,3990.0
2025-03-03,Acer,Monitor,Displays,East,8,2000,1800.0
2025-03-03,Samsung,Graphics Card,Components,North,13,8450,8450.0
2025-03-04,Intel,Processor,Components,East,3,1050,945.0
2025-03-04,ASUS,Desktop PC,Computers,South,13,9100,8190.0
2025-03-05,Dell,Printer,Office Hardware,West,2,360,342.0
2025-03-05,Lenovo,Tablet,Mobile Hardware,South,11,4400,3740.0
2025-03-05,AMD,Graphics Card,Components,East,4,2600,2340.0
2025-03-06,Samsung,Monitor,Displays,West,3,750,675.0
2025-03-06,Acer,Processor,Components,East,13,4550,4095.0
2025-03-07,Samsung,Monitor,Displays,East,1,250,250.0
2025-03-07,Intel,Tablet,Mobile Hardware,North,3,1200,1200.0
2025-03-08,Apple,Keyboard,Accessories,West,12,660,627.0
2025-03-08,Dell,SSD,Storage,South,2,240,240.0
2025-03-08,Dell,Tablet,Mobile Hardware,East,8,3200,3200.0
2025-03-09,AMD,Mouse,Accessories,South,6,180,162.0
2025-03-09,Apple,Tablet,Mobile Hardware,North,9,3600,3240.0
2025-03-10,MSI,Monitor,Displays,North,8,2000,1900.0
2025-03-10,HP,Desktop PC,Computers,West,10,7000,6300.0
2025-03-10,Lenovo,Printer,Office Hardware,North,3,540,486.0
2025-03-11,Dell,Desktop PC,Computers,North,5,3500,3500.0
2025-03-11,ASUS,Monitor,Displays,South,7,1750,1750.0
2025-03-12,Dell,Printer,Office Hardware,North,5,900,855.0
2025-03-12,Samsung,Mouse,Accessories,North,8,240,216.0
2025-03-12,Dell,SSD,Storage,East,12,1440,1440.0
2025-03-13,Dell,Graphics Card,Components,North,5,3250,3087.5
2025-03-13,HP,Monitor,Displays,East,1,250,250.0
2025-03-14,HP,Processor,Components,North,5,1750,1575.0
2025-03-14,Acer,Monitor,Displays,North,4,1000,900.0
2025-03-14,MSI,Monitor,Displays,West,6,1500,1350.0
2025-03-15,ASUS,Printer,Office Hardware,West,3,540,459.0
2025-03-15,Dell,Laptop,Computers,East,11,9350,8415.0
2025-03-16,Dell,Tablet,Mobile Hardware,North,5,2000,1700.0
2025-03-16,Lenovo,Laptop,Computers,South,2,1700,1445.0
2025-03-16,HP,Mouse,Accessories,West,11,330,297.0
2025-03-17,ASUS,Processor,Components,South,6,2100,1995.0
2025-03-17,AMD,SSD,Storage,West,13,1560,1560.0
2025-03-18,Acer,Keyboard,Accessories,West,12,660,627.0
2025-03-18,MSI,Mouse,Accessories,North,6,180,171.0
2025-03-18,Apple,Keyboard,Accessories,West,5,275,275.0
2025-03-19,MSI,Keyboard,Accessories,South,6,330,330.0
2025-03-19,Samsung,SSD,Storage,West,11,1320,1122.0
2025-03-20,Dell,Desktop PC,Computers,East,7,4900,4410.0
2025-03-20,Acer,Laptop,Computers,North,12,10200,9180.0
2025-03-20,Samsung,Monitor,Displays,North,5,1250,1250.0
2025-03-21,ASUS,Graphics Card,Components,East,1,650,650.0
2025-03-21,Apple,Keyboard,Accessories,East,8,440,440.0
2025-03-22,HP,Processor,Components,East,4,1400,1400.0
2025-03-22,Acer,Mouse,Accessories,West,9,270,270.0
2025-03-22,Acer,Desktop PC,Computers,North,14,9800,9800.0
2025-03-23,Dell,Keyboard,Accessories,East,10,550,467.5
2025-03-23,Intel,Desktop PC,Computers,West,12,8400,7560.0
2025-03-24,Acer,Desktop PC,Computers,East,6,4200,4200.0
2025-03-24,Lenovo,Keyboard,Accessories,South,1,55,55.0
2025-03-25,Apple,Printer,Office Hardware,South,3,540,513.0
2025-03-25,Apple,Tablet,Mobile Hardware,North,3,1200,1200.0
2025-03-25,Lenovo,Processor,Components,West,10,3500,2975.0
2025-03-26,AMD,Monitor,Displays,South,12,3000,3000.0
2025-03-26,Lenovo,Monitor,Displays,South,12,3000,3000.0
2025-03-27,Lenovo,Processor,Components,West,4,1400,1400.0
2025-03-27,Apple,Printer,Office Hardware,East,6,1080,1080.0
2025-03-27,MSI,Monitor,Displays,West,7,1750,1662.5
2025-03-28,Apple,Desktop PC,Computers,East,10,7000,6300.0
2025-03-28,Intel,SSD,Storage,South,4,480,456.0
2025-03-29,Dell,Mouse,Accessories,South,6,180,180.0
2025-03-29,Samsung,Laptop,Computers,South,11,9350,8882.5
2025-03-29,MSI,Monitor,Displays,North,1,250,237.5
2025-03-30,HP,Processor,Components,North,14,4900,4410.0
2025-03-30,Samsung,SSD,Storage,North,8,960,960.0
2025-03-31,Dell,Keyboard,Accessories,West,7,385,385.0
2025-03-31,Intel,Tablet,Mobile Hardware,South,11,4400,4180.0
2025-03-31,Intel,Processor,Components,South,11,3850,3657.5
2025-04-01,HP,Desktop PC,Computers,West,9,6300,5985.0
2025-04-01,MSI,Tablet,Mobile Hardware,North,3,1200,1200.0
2025-04-02,AMD,Mouse,Accessories,West,2,60,57.0
2025-04-02,Lenovo,Mouse,Accessories,North,1,30,27.0
2025-04-02,MSI,Printer,Office Hardware,South,3,540,513.0
2025-04-03,AMD,Graphics Card,Components,East,5,3250,2762.5
2025-04-03,Intel,Printer,Office Hardware,North,14,2520,2394.0
2025-04-04,Apple,SSD,Storage,South,11,1320,1122.0
2025-04-04,Dell,Tablet,Mobile Hardware,South,2,800,720.0
2025-04-04,HP,Graphics Card,Components,East,12,7800,7800.0
2025-04-05,Dell,Keyboard,Accessories,South,3,165,148.5
2025-04-05,ASUS,Desktop PC,Computers,South,4,2800,2800.0
2025-04-06,ASUS,Tablet,Mobile Hardware,North,7,2800,2380.0
2025-04-06,MSI,Printer,Office Hardware,North,13,2340,2223.0
2025-04-06,Intel,Laptop,Computers,East,3,2550,2550.0
2025-04-07,Intel,Graphics Card,Components,East,9,5850,5557.5
2025-04-07,Lenovo,Graphics Card,Components,South,8,5200,4420.0
2025-04-08,Lenovo,Desktop PC,Computers,North,4,2800,2800.0
2025-04-08,Lenovo,Monitor,Displays,East,13,3250,3087.5
2025-04-08,Apple,Mouse,Accessories,East,1,30,27.0
2025-04-09,Samsung,Mouse,Accessories,West,1,30,27.0
2025-04-09,Acer,Laptop,Computers,East,1,850,850.0
2025-04-10,Samsung,SSD,Storage,South,1,120,120.0
2025-04-10,Dell,SSD,Storage,North,8,960,960.0
2025-04-11,Samsung,Keyboard,Accessories,East,3,165,156.75
2025-04-11,Apple,Tablet,Mobile Hardware,West,6,2400,2280.0
2025-04-11,Dell,Processor,Components,North,3,1050,892.5
2025-04-12,Samsung,Monitor,Displays,East,11,2750,2750.0
2025-04-12,Apple,Printer,Office Hardware,West,5,900,855.0
2025-04-13,Acer,Processor,Components,East,13,4550,4550.0
2025-04-13,Samsung,Processor,Components,North,14,4900,4900.0
2025-04-13,Apple,Graphics Card,Components,North,13,8450,8027.5
2025-04-14,Lenovo,Laptop,Computers,North,7,5950,5652.5
2025-04-14,Intel,Mouse,Accessories,South,2,60,57.0
2025-04-15,Lenovo,Keyboard,Accessories,East,6,330,280.5
2025-04-15,Intel,SSD,Storage,South,13,1560,1482.0
2025-04-15,HP,Laptop,Computers,North,6,5100,4335.0
2025-04-16,HP,Graphics Card,Components,West,11,7150,6435.0
2025-04-16,HP,Printer,Office Hardware,East,3,540,513.0
2025-04-17,Acer,Keyboard,Accessories,South,6,330,297.0
2025-04-17,Lenovo,Graphics Card,Components,East,10,6500,6175.0
2025-04-17,Intel,Mouse,Accessories,West,10,300,300.0
2025-04-18,Apple,Mouse,Accessories,South,14,420,378.0
2025-04-18,Dell,Mouse,Accessories,North,5,150,150.0
2025-04-19,Apple,Laptop,Computers,South,12,10200,9690.0
2025-04-19,Dell,Laptop,Computers,East,2,1700,1530.0
2025-04-19,ASUS,SSD,Storage,East,9,1080,1080.0
2025-04-20,Apple,SSD,Storage,East,8,960,960.0
2025-04-20,Samsung,Printer,Office Hardware,East,3,540,459.0
2025-04-21,Samsung,Keyboard,Accessories,North,8,440,418.0
2025-04-21,MSI,Desktop PC,Computers,South,14,9800,9800.0
2025-04-21,Lenovo,Desktop PC,Computers,North,9,6300,5985.0
2025-04-22,Dell,Graphics Card,Components,North,14,9100,8645.0
2025-04-22,Dell,Mouse,Accessories,North,3,90,85.5
2025-04-23,Lenovo,Keyboard,Accessories,East,3,165,140.25
2025-04-23,Acer,Processor,Components,East,2,700,665.0
2025-04-23,MSI,Laptop,Computers,East,8,6800,6800.0
2025-04-24,Acer,Tablet,Mobile Hardware,South,10,4000,3600.0
2025-04-24,Acer,Monitor,Displays,West,1,250,225.0
2025-04-25,Acer,Printer,Office Hardware,East,8,1440,1440.0
2025-04-25,Lenovo,Mouse,Accessories,South,7,210,210.0
2025-04-26,Acer,Mouse,Accessories,East,14,420,420.0
2025-04-26,Samsung,Mouse,Accessories,East,7,210,199.5
2025-04-26,HP,Laptop,Computers,North,3,2550,2422.5
2025-04-27,ASUS,Laptop,Computers,North,1,850,807.5
2025-04-27,Dell,Monitor,Displays,North,4,1000,850.0
2025-04-28,Dell,Processor,Components,South,9,3150,2835.0
2025-04-28,ASUS,Keyboard,Accessories,West,5,275,275.0
2025-04-28,Lenovo,Mouse,Accessories,West,1,30,30.0
2025-04-29,Apple,Desktop PC,Computers,South,5,3500,3500.0
2025-04-29,Lenovo,SSD,Storage,East,13,1560,1560.0
2025-04-30,Dell,Desktop PC,Computers,South,8,5600,5320.0
2025-04-30,Dell,Graphics Card,Components,East,8,5200,4680.0
2025-04-30,ASUS,Desktop PC,Computers,South,5,3500,3500.0
2025-05-01,Acer,Graphics Card,Components,South,12,7800,7410.0
2025-05-01,Lenovo,Tablet,Mobile Hardware,South,9,3600,3240.0
2025-05-02,Intel,SSD,Storage,West,1,120,120.0
2025-05-02,ASUS,Desktop PC,Computers,North,4,2800,2800.0
2025-05-02,Samsung,Tablet,Mobile Hardware,South,3,1200,1140.0
2025-05-03,Dell,Printer,Office Hardware,West,2,360,360.0
2025-05-03,ASUS,Keyboard,Accessories,North,8,440,374.0
2025-05-04,Lenovo,Tablet,Mobile Hardware,North,7,2800,2800.0
2025-05-04,Dell,Keyboard,Accessories,South,9,495,495.0
2025-05-04,Apple,Desktop PC,Computers,East,2,1400,1330.0
2025-05-05,ASUS,Processor,Components,East,14,4900,4165.0
2025-05-05,MSI,Tablet,Mobile Hardware,East,14,5600,5600.0
2025-05-06,Dell,SSD,Storage,South,4,480,480.0
2025-05-06,Lenovo,Desktop PC,Computers,East,14,9800,9800.0
2025-05-06,HP,Mouse,Accessories,West,6,180,180.0
2025-05-07,Intel,Laptop,Computers,West,11,9350,9350.0
2025-05-07,AMD,Tablet,Mobile Hardware,West,3,1200,1140.0
2025-05-08,Acer,SSD,Storage,West,8,960,960.0
2025-05-08,AMD,Printer,Office Hardware,North,3,540,540.0
2025-05-08,Lenovo,Mouse,Accessories,West,14,420,378.0
2025-05-09,Samsung,Printer,Office Hardware,East,12,2160,2160.0
2025-05-09,Samsung,Desktop PC,Computers,South,13,9100,9100.0
2025-05-10,HP,Laptop,Computers,East,13,11050,11050.0
2025-05-10,Acer,Tablet,Mobile Hardware,West,2,800,680.0
2025-05-10,MSI,Tablet,Mobile Hardware,North,13,5200,5200.0
2025-05-11,HP,Processor,Components,West,13,4550,4095.0
2025-05-11,AMD,Processor,Components,South,3,1050,945.0
2025-05-12,HP,Desktop PC,Computers,East,11,7700,7700.0
2025-05-12,AMD,Desktop PC,Computers,South,6,4200,3570.0
2025-05-13,Dell,Laptop,Computers,South,2,1700,1700.0
2025-05-13,Samsung,Processor,Components,South,8,2800,2800.0
2025-05-13,Dell,SSD,Storage,East,1,120,108.0
2025-05-14,Intel,SSD,Storage,West,7,840,756.0
2025-05-14,Acer,Laptop,Computers,South,2,1700,1615.0
2025-05-15,MSI,SSD,Storage,East,10,1200,1200.0
2025-05-15,AMD,Graphics Card,Components,North,12,7800,7410.0
2025-05-15,MSI,Keyboard,Accessories,East,6,330,297.0
2025-05-16,AMD,Laptop,Computers,North,12,10200,10200.0
2025-05-16,Lenovo,Laptop,Computers,East,2,1700,1700.0
2025-05-17,HP,Monitor,Displays,West,2,500,500.0
2025-05-17,Intel,Mouse,Accessories,South,10,300,300.0
2025-05-17,Samsung,Mouse,Accessories,West,13,390,351.0
2025-05-18,AMD,Graphics Card,Components,East,8,5200,5200.0
2025-05-18,MSI,Processor,Components,South,12,4200,3570.0
2025-05-19,Intel,Desktop PC,Computers,North,2,1400,1400.0
2025-05-19,Apple,Desktop PC,Computers,East,7,4900,4410.0
2025-05-19,Apple,Printer,Office Hardware,South,3,540,540.0
2025-05-20,Dell,Graphics Card,Components,North,8,5200,5200.0
2025-05-20,Samsung,Laptop,Computers,North,7,5950,5950.0
2025-05-21,Lenovo,Graphics Card,Components,West,14,9100,9100.0
2025-05-21,MSI,Graphics Card,Components,East,8,5200,4940.0
2025-05-21,HP,Graphics Card,Components,North,14,9100,7735.0
2025-05-22,HP,Mouse,Accessories,South,7,210,199.5
2025-05-22,MSI,Graphics Card,Components,North,11,7150,7150.0
2025-05-23,Acer,Keyboard,Accessories,North,6,330,330.0
2025-05-23,Lenovo,Desktop PC,Computers,West,13,9100,9100.0
2025-05-23,Intel,Printer,Office Hardware,West,7,1260,1197.0
2025-05-24,AMD,Keyboard,Accessories,South,5,275,247.5
2025-05-24,Acer,Printer,Office Hardware,West,7,1260,1071.0
2025-05-25,AMD,Monitor,Displays,North,1,250,250.0
2025-05-25,AMD,Printer,Office Hardware,North,1,180,171.0
2025-05-25,Acer,Desktop PC,Computers,West,9,6300,5985.0
2025-05-26,Dell,Desktop PC,Computers,North,14,9800,9310.0
2025-05-26,Apple,Graphics Card,Components,North,5,3250,3087.5
2025-05-27,AMD,Tablet,Mobile Hardware,South,13,5200,4940.0
2025-05-27,Acer,Monitor,Displays,West,5,1250,1187.5
2025-05-27,Acer,Laptop,Computers,North,3,2550,2550.0
2025-05-28,ASUS,SSD,Storage,West,5,600,540.0
2025-05-28,Dell,Printer,Office Hardware,South,3,540,540.0
2025-05-29,Samsung,Tablet,Mobile Hardware,West,9,3600,3420.0
2025-05-29,ASUS,Graphics Card,Components,North,9,5850,5850.0
2025-05-30,ASUS,Mouse,Accessories,West,6,180,171.0
2025-05-30,MSI,Laptop,Computers,North,1,850,722.5
2025-05-30,Apple,Processor,Components,North,7,2450,2205.0
2025-05-31,Acer,Tablet,Mobile Hardware,North,7,2800,2520.0
2025-05-31,Apple,Mouse,Accessories,South,14,420,399.0
2025-06-01,Lenovo,Monitor,Displays,West,10,2500,2250.0
2025-06-01,MSI,Graphics Card,Components,South,10,6500,6175.0
2025-06-01,Samsung,Laptop,Computers,West,4,3400,3060.0
2025-06-02,Apple,Laptop,Computers,South,8,6800,6800.0
2025-06-02,HP,Laptop,Computers,East,6,5100,4335.0
2025-06-03,AMD,Monitor,Displays,North,4,1000,850.0
2025-06-03,Lenovo,Printer,Office Hardware,North,4,720,648.0
2025-06-03,Dell,Processor,Components,South,2,700,700.0
2025-06-04,Samsung,Monitor,Displays,East,14,3500,3500.0
2025-06-04,Lenovo,SSD,Storage,North,2,240,216.0
2025-06-05,AMD,Processor,Components,West,12,4200,4200.0
2025-06-05,MSI,Desktop PC,Computers,South,14,9800,8820.0
2025-06-05,AMD,Graphics Card,Components,North,4,2600,2470.0
2025-06-06,ASUS,Monitor,Displays,North,5,1250,1250.0
2025-06-06,AMD,Mouse,Accessories,South,8,240,204.0
2025-06-07,ASUS,Processor,Components,South,6,2100,1995.0
2025-06-07,MSI,SSD,Storage,West,14,1680,1596.0
2025-06-07,Intel,Desktop PC,Computers,West,4,2800,2660.0
2025-06-08,ASUS,Printer,Office Hardware,North,13,2340,2340.0
2025-06-08,Dell,Mouse,Accessories,North,11,330,297.0
2025-06-09,AMD,Processor,Components,South,7,2450,2450.0
2025-06-09,AMD,Graphics Card,Components,North,8,5200,4420.0
2025-06-09,Dell,Mouse,Accessories,North,2,60,54.0
2025-06-10,HP,Desktop PC,Computers,South,12,8400,8400.0
2025-06-10,Acer,Mouse,Accessories,North,7,210,189.0
2025-06-11,Intel,Keyboard,Accessories,North,14,770,731.5
2025-06-11,Samsung,Tablet,Mobile Hardware,East,2,800,800.0
2025-06-11,ASUS,Printer,Office Hardware,West,2,360,306.0
2025-06-12,Dell,Desktop PC,Computers,South,8,5600,5600.0
2025-06-12,MSI,Mouse,Accessories,East,2,60,60.0
2025-06-13,ASUS,Tablet,Mobile Hardware,West,11,4400,4180.0
2025-06-13,Acer,Tablet,Mobile Hardware,West,9,3600,3420.0
2025-06-13,MSI,Mouse,Accessories,West,12,360,342.0
2025-06-14,Lenovo,Graphics Card,Components,East,1,650,585.0
2025-06-14,AMD,Keyboard,Accessories,East,9,495,470.25
2025-06-15,Lenovo,Monitor,Displays,West,1,250,237.5
2025-06-15,ASUS,Keyboard,Accessories,North,10,550,550.0
2025-06-16,Acer,Mouse,Accessories,North,13,390,390.0
2025-06-16,Intel,Printer,Office Hardware,East,10,1800,1800.0
2025-06-16,ASUS,Monitor,Displays,East,2,500,500.0
2025-06-17,Dell,Desktop PC,Computers,East,6,4200,3990.0
2025-06-17,Apple,Keyboard,Accessories,West,6,330,330.0
2025-06-18,ASUS,Mouse,Accessories,North,1,30,30.0
2025-06-18,AMD,Keyboard,Accessories,East,7,385,385.0
2025-06-18,AMD,Monitor,Displays,East,8,2000,1700.0
2025-06-19,ASUS,SSD,Storage,South,2,240,204.0
2025-06-19,MSI,Processor,Components,West,8,2800,2660.0
2025-06-20,Apple,Keyboard,Accessories,South,9,495,420.75
2025-06-20,Dell,Desktop PC,Computers,North,6,4200,3780.0
2025-06-20,ASUS,Desktop PC,Computers,South,5,3500,3325.0
2025-06-21,MSI,Laptop,Computers,South,12,10200,10200.0
2025-06-21,AMD,Keyboard,Accessories,South,9,495,445.5
2025-06-22,AMD,Processor,Components,West,13,4550,4095.0
2025-06-22,Acer,Graphics Card,Components,North,12,7800,7410.0
